instancia,otimo,pop_inicial,k,porcentagem,media_bins,melhor_bins,pior_bins,media_tempo_s,validos,invalidos
u120_02.txt,46,16,3,20,46.9,46,47,0.488,10,0
u120_02.txt,46,16,3,35,47,47,47,0.518,10,0
u120_02.txt,46,16,3,50,46.9,46,47,0.5886,10,0
u120_02.txt,46,16,3,70,47,47,47,0.6342,10,0
u120_02.txt,46,16,3,90,47,47,47,0.7252,10,0
u120_02.txt,46,16,5,20,46.9,46,47,0.4914,10,0
u120_02.txt,46,16,5,35,46.9,46,47,0.5536,10,0
u120_02.txt,46,16,5,50,47,47,47,0.5868,10,0
u120_02.txt,46,16,5,70,47,47,47,0.652,10,0
u120_02.txt,46,16,5,90,47,47,47,0.7331,10,0
u120_02.txt,46,30,3,20,46.4,46,47,1.0178,10,0
u120_02.txt,46,30,3,35,46.8,46,47,1.1524,10,0
u120_02.txt,46,30,3,50,46.7,46,47,1.256,10,0
u120_02.txt,46,30,3,70,46.9,46,47,1.3064,10,0
u120_02.txt,46,30,3,90,47,47,47,1.3825,10,0
u120_02.txt,46,30,5,20,46.6,46,47,0.9803,10,0
u120_02.txt,46,30,5,35,46.8,46,47,1.0984,10,0
u120_02.txt,46,30,5,50,46.9,46,47,1.1777,10,0
u120_02.txt,46,30,5,70,46.9,46,47,1.295,10,0
u120_02.txt,46,30,5,90,47,47,47,1.3745,10,0
u120_02.txt,46,60,3,20,46.3,46,47,2.2265,10,0
u120_02.txt,46,60,3,35,46.6,46,47,2.528,10,0
u120_02.txt,46,60,3,50,46.7,46,47,2.7914,10,0
u120_02.txt,46,60,3,70,47,47,47,2.4544,10,0
u120_02.txt,46,60,3,90,47,47,47,2.8038,10,0
u120_02.txt,46,60,5,20,46.3,46,47,2.1932,10,0
u120_02.txt,46,60,5,35,46.5,46,47,2.4753,10,0
u120_02.txt,46,60,5,50,46.9,46,47,2.2678,10,0
u120_02.txt,46,60,5,70,46.7,46,47,3.1537,10,0
u120_02.txt,46,60,5,90,46.9,46,47,2.9016,10,0
u120_02.txt,46,100,3,20,46,46,46,3.451,10,0
u120_02.txt,46,100,3,35,46.3,46,47,4.4682,10,0
u120_02.txt,46,100,3,50,46.6,46,47,4.6673,10,0
u120_02.txt,46,100,3,70,46.9,46,47,4.2844,10,0
u120_02.txt,46,100,3,90,46.9,46,47,5.0842,10,0
u120_02.txt,46,100,5,20,46,46,46,3.3812,10,0
u120_02.txt,46,100,5,35,46.3,46,47,4.0441,10,0
u120_02.txt,46,100,5,50,46.8,46,47,4.1371,10,0
u120_02.txt,46,100,5,70,47,47,47,4.1247,10,0
u120_02.txt,46,100,5,90,46.9,46,47,5.1473,10,0
